version,date,title,category,impact,changes,filesModified
1.0.0,2026-04-15,Initial 4-Layer Pipeline Architecture,architecture,major,Established 4-layer pipeline: Data Acquisition → LLM Extraction → KG Storage → Inference | Created Supabase Edge Functions for all pipeline stages | Integrated google/gemini-3-flash-preview as backbone LLM via Lovable AI Gateway | Built client-side pipeline orchestrator with useThreatPipeline hook,supabase/functions/threat-preprocess/index.ts | supabase/functions/threat-extract/index.ts | supabase/functions/threat-conflicts/index.ts | supabase/functions/threat-kg-query/index.ts | src/lib/threat-pipeline.ts | src/hooks/use-threat-pipeline.ts
1.1.0,2026-04-15,Multi-Source Preprocessing Engine,pipeline,major,"Implemented source-type detection (PDF, STIX, Blog, Forum, OSINT) | IOC defanging and re-fanging (IPs, domains, hashes, CVEs) | HTML/markdown stripping and text normalization | Source reliability scoring based on type classification",supabase/functions/threat-preprocess/index.ts | src/pages/DataIngestion.tsx
1.2.0,2026-04-15,8-Step CoT Prompt Engineering for NER/RE,llm,major,Designed Chain-of-Thought prompts with 8 explicit reasoning steps | Step 1-2: Entity identification with STIX 2.1 type mapping | Step 3-4: Relationship extraction with edge typing (relational/temporal/causal/inferred) | Step 5-6: Confidence scoring with source reliability weighting | Step 7-8: Graph validation and narrative summary generation,supabase/functions/threat-extract/index.ts
1.3.0,2026-04-15,Graph-Native KG Construction (Innovation Beyond OpenCTI),architecture,major,"LLM now reasons in (Subject, Predicate, Object) triples from step 1 | STIX 2.1 ontology enforced DURING reasoning, not post-hoc | Transitive inference: A→uses→B→exploits→C ⟹ A→indirectly_exploits→C | Confidence decay on inferred edges: conf × 0.85 per hop | Graph metadata computed within LLM output: density, node/edge count, warnings | Subgraph clustering for campaign-level grouping | Reasoning trace preserved for auditability",supabase/functions/threat-extract/index.ts | src/lib/threat-pipeline.ts
1.4.0,2026-04-15,Hybrid Causality Engine (Embedded + DAG Validation),causality,major,"Primary: Causal extraction embedded in LLM CoT reasoning layer | LLM outputs (cause → effect) triples with temporal ordering during extraction | Causal types: enables, leads_to, triggers, precedes | Kill chain mapping: MITRE ATT&CK tactic alignment per causal link | Attack timeline reconstruction with temporal certainty scoring | Validation: Post-hoc DAG cycle detection in conflict engine | Primary attack path identification via topological sorting",supabase/functions/threat-extract/index.ts | supabase/functions/threat-conflicts/index.ts | src/lib/threat-pipeline.ts
1.5.0,2026-04-15,Neuro-Symbolic Conflict Detection (10 Rules),conflict,major,Expanded from 7 to 10 symbolic validation rules | Rule: Entity confidence threshold (≥0.3) | Rule: Relation endpoint validation | Rule: Source reliability weighting | Rule: Temporal consistency checking | Rule: Causal cycle detection (DAG validation) | Rule: Confidence propagation anomaly detection | Rule: Graph connectivity (orphan node detection) | Rule: Ontological STIX 2.1 compliance | Rule: High-confidence edges between low-confidence nodes flagging | Rule: Duplicate/contradictory relation detection | Credibility formula: S = Σ(wᵢ × confᵢ × reliabilityᵢ) / N | LLM-based conflict resolution for ambiguous cases,supabase/functions/threat-conflicts/index.ts
1.6.0,2026-04-15,Graph-Aware Attribution Engine,pipeline,major,"Attribution based on graph path analysis, not just entity matching | Evidence as graph paths: weight = Π(conf_edge) along path | Hub/authority/bridge node identification for graph topology | Alternative actor ranking with path-weight scoring | Attack path reconstruction via graph traversal | Reasoning trace output for explainability",supabase/functions/threat-kg-query/index.ts | src/pages/Attribution.tsx
1.7.0,2026-04-15,Dashboard UI Integration with Live Pipeline,ui,major,Data Ingestion: Live processing console with source-type detection | KG Construction: Dynamic SVG graph rendering from LLM extraction | Attribution: Live results with causal timeline and conflict summary | Pipeline state management via useThreatPipeline hook | Real-time progress indicators for each pipeline stage,src/pages/DataIngestion.tsx | src/pages/KGConstruction.tsx | src/pages/Attribution.tsx | src/hooks/use-threat-pipeline.ts
1.8.0,2026-04-15,Implementation Log Dashboard & GitHub Sync,infrastructure,minor,Created versioned implementation log tracking all system changes | New dashboard page for browsing implementation history | Log file included in repository for GitHub synchronization | Category-based filtering and impact-level badges,src/lib/implementation-log.ts | src/pages/ImplementationLog.tsx | src/components/AppSidebar.tsx | src/App.tsx
2.0.0,2026-04-15,Two-Stage Experiment Framework with Live Runner,pipeline,major,"Stage 1: MITRE ATT&CK + CAPEC datasets (1,000 samples, core CTI ontology) | Stage 2: + NVD/CVE + STIX/TAXII feeds (3,050 samples, scale & diversity) | Baselines: BERT-NER (SecureBERT) and Rule-Based extraction engine | Experiment runner edge function with live LLM evaluation | Per-task breakdown: NER, RE, Causality, Attribution, Hallucination Control | Scale effect analysis: Stage 1 → Stage 2 degradation comparison | Live experiment runner with real-time metric computation against ground truth | Dataset cards with entity type and sample count metadata",src/lib/experiment-config.ts | src/pages/Experiments.tsx | supabase/functions/experiment-runner/index.ts
2.1.0,2026-04-18,GitHub Sync Dashboard & Live LLM Verification,infrastructure,minor,"Audited every file in the repo for LLM involvement (direct call / orchestrator / consumer) | Catalogued 7 verified LLM call-sites across 4 edge functions (all → google/gemini-3-flash-preview) | Added live probe button: invokes experiment-runner → AI Gateway, reports round-trip latency | New 'GitHub Sync' sidebar page with filterable repo inventory table (by layer / LLM role / chapter)",src/lib/github-sync.ts | src/pages/GitHubSync.tsx | src/components/AppSidebar.tsx | src/App.tsx
2.2.0,2026-04-18,Self-Monitoring Mechanism: Auto-Generated Reports + Drift Scanner,infrastructure,minor,"Built scripts/generate-reports.mjs — single command produces 12 artifacts from repo state | Generates Technical Report (.md + .docx), White Paper (.md + .docx), 3 inventory tables (.csv + .json each), Health Report (.md), and a sha256 manifest.json | Added SelfMonitoringPanel embedded on Implementation Log and GitHub Sync pages | Drift scanner: diffs repo inventory vs files referenced in the log, flags undocumented files | Add-entry form: drafts a new log entry (auto-versioned) and copies a paste-ready TS snippet | All artifacts served as static downloads from /reports/* with sha256 + byte-size displayed",scripts/generate-reports.mjs | src/lib/self-monitoring.ts | src/components/SelfMonitoringPanel.tsx | src/pages/ImplementationLog.tsx | src/pages/GitHubSync.tsx | public/reports/manifest.json
