path,layer,llmRole,chapter,purpose,llmWork
supabase/functions/threat-preprocess/index.ts,edge-function,non-llm,3,"Multi-source preprocessing: source-type detection, IOC defang, normalization",
supabase/functions/threat-extract/index.ts,edge-function,direct-llm-call,3,Graph-native CoT extraction — KG triples constructed inside LLM reasoning,Builds 8-step Graph-Native CoT prompt (STIX 2.1 enforced in-prompt) | POST to https://ai.gateway.lovable.dev/v1/chat/completions | Model: google/gemini-3-flash-preview | Parses LLM JSON output → nodes / edges / causal subgraph / reasoning trace
supabase/functions/threat-conflicts/index.ts,edge-function,direct-llm-call,4,Neuro-symbolic conflict detection (10 rules) + DAG cycle validation,Runs 10 symbolic rules over the KG | If conflicts found → calls LLM to propose resolutions | Computes credibility S = Σ(wᵢ × confᵢ × reliabilityᵢ) / N
supabase/functions/threat-kg-query/index.ts,edge-function,direct-llm-call,4,"Graph-aware attribution, attack-path reconstruction, prediction","3 distinct LLM call sites (attribute / attack_path / predict) | Sends graph topology (hubs, bridges, paths) into the prompt | Returns ranked actors + reasoning trace"
supabase/functions/experiment-runner/index.ts,edge-function,direct-llm-call,5,Live experiment runner — LLM vs BERT-NER vs Rule-based,Calls gemini-3-flash-preview on a ground-truth sample | Computes precision / recall / F1 against gold labels
src/lib/threat-pipeline.ts,frontend-lib,orchestrates-llm,3,Client orchestrator: chains preprocess → extract → conflicts → query,Invokes 4 edge functions sequentially via supabase.functions.invoke()
src/hooks/use-threat-pipeline.ts,frontend-hook,orchestrates-llm,3,"React hook exposing pipeline state, progress, and results",
src/lib/experiment-config.ts,frontend-lib,non-llm,5,Two-stage dataset config (MITRE ATT&CK+CAPEC → +NVD/CVE+STIX/TAXII),
src/lib/implementation-log.ts,frontend-lib,non-llm,,"Versioned change log (10 versions, synced to GitHub)",
src/lib/github-sync.ts,frontend-lib,non-llm,,This file — repository inventory + verified LLM call-site list,
src/pages/Overview.tsx,frontend-page,consumes-llm-output,2,System overview dashboard,
src/pages/DataIngestion.tsx,frontend-page,orchestrates-llm,3,Source ingestion + live preprocessing console,
src/pages/KGConstruction.tsx,frontend-page,consumes-llm-output,3,Renders dynamic SVG KG from graph-native LLM output,
src/pages/Attribution.tsx,frontend-page,consumes-llm-output,4,"Attribution results, causal timeline, conflict summary",
src/pages/Experiments.tsx,frontend-page,orchestrates-llm,5,Experiment dashboard (5 tabs incl. Live Run against LLM),
src/pages/ThreatFeed.tsx,frontend-page,consumes-llm-output,,Live threat feed view,
src/pages/ImplementationLog.tsx,frontend-page,non-llm,,Versioned implementation history dashboard,
src/pages/GitHubSync.tsx,frontend-page,non-llm,,This page — repo inventory + LLM call verification table,
src/pages/SettingsPage.tsx,frontend-page,non-llm,,Settings,
src/components/AppSidebar.tsx,frontend-component,non-llm,,Sidebar navigation,
src/components/DashboardLayout.tsx,frontend-component,non-llm,,Top-level dashboard shell,
supabase/config.toml,config,non-llm,,Edge-function deployment config,
src/integrations/supabase/client.ts,config,non-llm,,"Supabase client (auto-generated, do not edit)",
